요소_id,indicator_id,country_iso3,year,period,value,missing_reason_code,note,category,scenario,tech_id,bound,value_kind,region_system,region_key,region_name,source_record
B-021,B-021_comp_sgdi_central_highlands,VNM,1992,,0.913,,[실적치] · GDLCODE=VNMr104,,,,,,region-6,VNMr104,Central Highlands,v124-b-021-obs-01807
B-021,B-021_comp_sgdi_mekong_river_delta,VNM,1992,,0.906,,[실적치] · GDLCODE=VNMr106,,,,,,region-6,VNMr106,,v124-b-021-obs-01839
B-021,B-021_comp_sgdi_north_central_coast_and_south_central_coast,VNM,1992,,0.919,,[실적치] · GDLCODE=VNMr103,,,,,,region-6,VNMr103,,v124-b-021-obs-01871
B-021,B-021_comp_sgdi_north_east_north_west,VNM,1992,,0.917,,[실적치] · GDLCODE=VNMr102,,,,,,region-6,VNMr102,,v124-b-021-obs-01903
B-021,B-021_comp_sgdi_red_river_delta,VNM,1992,,0.929,,[실적치] · GDLCODE=VNMr101,,,,,,region-6,VNMr101,,v124-b-021-obs-01935
B-021,B-021_comp_sgdi_south_east,VNM,1992,,0.945,,[실적치] · GDLCODE=VNMr105,,,,,,region-6,VNMr105,,v124-b-021-obs-01967
B-021,B-021_comp_sgdi_total,VNM,1992,,0.92,,[실적치] · GDLCODE=VNMt,,,,,,,,,v124-b-021-obs-01999
B-021,B-021_comp_sgdi_central_highlands,VNM,1993,,0.919,,[실적치] · GDLCODE=VNMr104,,,,,,region-6,VNMr104,,v124-b-021-obs-01808
B-003,B-003_climate_adm1_year,VNM,1933,,27.69,,[현행 개체시트 납품] 연평균 기온(°C). 레코드_키=VNM.1_1_1933. 같은 레코드의 다른 속성(연강수량 등)은 이 행에 담지 못함 — S1/S2 구조는 한 행에 값 1개,,,,,,adm1-63,VNM.1_1,AnGiang,v124-b-003-entity-00001
