element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
B-036,토지이용 변화율,observation,v124-b-036-obs-00001,B-036_cagr_lc_artificial_surface,VNM,2022,2022,2022,,,,5.1155,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),32,
B-036,토지이용 변화율,observation,v124-b-036-obs-00002,B-036_cagr_lc_grassland,VNM,2022,2022,2022,,,,0.4417,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),33,
B-036,토지이용 변화율,observation,v124-b-036-obs-00003,B-036_cagr_lc_herbaceous_crops,VNM,2022,2022,2022,,,,-1.0824,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),34,
B-036,토지이용 변화율,observation,v124-b-036-obs-00004,B-036_cagr_lc_inland_water_bodie,VNM,2022,2022,2022,,,,-0.0465,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),35,
B-036,토지이용 변화율,observation,v124-b-036-obs-00005,B-036_cagr_lc_mangroves,VNM,2022,2022,2022,,,,0.4906,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),36,
B-036,토지이용 변화율,observation,v124-b-036-obs-00006,B-036_cagr_lc_shrub-covered_area,VNM,2022,2022,2022,,,,0.0959,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),37,
B-036,토지이용 변화율,observation,v124-b-036-obs-00007,B-036_cagr_lc_shrubs_and/or_herb,VNM,2022,2022,2022,,,,0.4584,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),38,
B-036,토지이용 변화율,observation,v124-b-036-obs-00008,B-036_cagr_lc_sparsely_natural_v,VNM,2022,2022,2022,,,,0.0107,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),39,
B-036,토지이용 변화율,observation,v124-b-036-obs-00009,B-036_cagr_lc_terrestrial_barren,VNM,2022,2022,2022,,,,-0.0197,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),40,
B-036,토지이용 변화율,observation,v124-b-036-obs-00010,B-036_cagr_lc_tree-covered_areas,VNM,2022,2022,2022,,,,-0.2943,%/yr,,,,,,[추정치] · 기준기간 1992–2022 (30년) 공통 적용,"FAO FAOSTAT Land Cover (LC), CCI_LC",https://bulks-faostat.fao.org/production/Environment_LandCover_E_All_Data_(Normalized).zip,CC-BY-4.0,B-036.xlsx,1.1_observation(측정값),41,
