element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00001,A-009_ghg_intensity_gdp_ppp,VNM,1990,1990,1990,,,,0.568437,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),4,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00002,A-009_ghg_intensity_gdp_ppp,VNM,1991,1991,1991,,,,0.560692,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),5,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00003,A-009_ghg_intensity_gdp_ppp,VNM,1992,1992,1992,,,,0.540107,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),6,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00004,A-009_ghg_intensity_gdp_ppp,VNM,1993,1993,1993,,,,0.535445,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),7,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00005,A-009_ghg_intensity_gdp_ppp,VNM,1994,1994,1994,,,,0.526458,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),8,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00006,A-009_ghg_intensity_gdp_ppp,VNM,1995,1995,1995,,,,0.51625,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),9,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00007,A-009_ghg_intensity_gdp_ppp,VNM,1996,1996,1996,,,,0.504584,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),10,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00008,A-009_ghg_intensity_gdp_ppp,VNM,1997,1997,1997,,,,0.491492,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),11,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00009,A-009_ghg_intensity_gdp_ppp,VNM,1998,1998,1998,,,,0.499045,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),12,
A-009,"GHG 배출 강도[GDP 대비, 1인당]",observation,v124-a-009-obs-00010,A-009_ghg_intensity_gdp_ppp,VNM,1999,1999,1999,,,,0.496855,"tCO2eq/1,000 국제달러",,,,,,"[GDP 대비] European Commission, Joint Research Centre (JRC) — EDGAR 「EDGAR_AR5_GHG ÷ NY.GDP.MKTP.PP.KD」 기준. tCO2eq / 1,000 국제달러 (PPP, 2021년 불변가격 기준). 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).","European Commission, Joint Research Centre (JRC) — EDGAR",https://edgar.jrc.ec.europa.eu/dataset_ghg2025,CC-BY-4.0,"A-009_GHG 배출 강도[GDP 대비, 1인당].xlsx",1.1_observation(측정값),13,
