element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-032,중간재 교역 규모,observation,v124-a-032-obs-00001,A-032_intermediate_dva_share_in_exports,VNM,1995,1995,1995,,,,39.7,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),4,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00002,A-032_intermediate_dva_share_in_exports,VNM,1996,1996,1996,,,,39,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),5,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00003,A-032_intermediate_dva_share_in_exports,VNM,1997,1997,1997,,,,39.2,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),6,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00004,A-032_intermediate_dva_share_in_exports,VNM,1998,1998,1998,,,,39.4,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),7,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00005,A-032_intermediate_dva_share_in_exports,VNM,1999,1999,1999,,,,39,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),8,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00006,A-032_intermediate_dva_share_in_exports,VNM,2000,2000,2000,,,,37,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),9,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00007,A-032_intermediate_dva_share_in_exports,VNM,2001,2001,2001,,,,36.7,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),10,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00008,A-032_intermediate_dva_share_in_exports,VNM,2002,2002,2002,,,,36,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),11,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00009,A-032_intermediate_dva_share_in_exports,VNM,2003,2003,2003,,,,35.7,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),12,
A-032,중간재 교역 규모,observation,v124-a-032-obs-00010,A-032_intermediate_dva_share_in_exports,VNM,2004,2004,2004,,,,35.1,%,,,,,,[수출 중 중간재 국내부가가치 비중] OECD 「OECD_TIVA_EXGR_INT_DVA」 기준. Percentage of gross exports. 38대 기후기술을 특정하지 않는 배경·여건 지표이므로 매핑하지 않음(tech_ids=해당없음).,OECD,https://data360.worldbank.org/en/dataset/OECD_TIVA,기관 이용약관(OECD),A-032_중간재 교역 규모.xlsx,1.1_observation(측정값),13,
