element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
B-028,하천 유량,observation,vnm-v121-b-028-obs-4-08dacc749733f6eb,B-028_trwr,VNM,2023,884.1,km³/yr,,,,,,[추정치] · 내부 359 / 외부 525,FAO AQUASTAT,https://data.apps.fao.org/aquastat/?lang=en&country=VNM,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),4,
B-028,하천 유량,observation,vnm-v121-b-028-obs-5-60b6164da4ea6fe2,B-028_discharge_mekong_min,VNM,2009,460,km³/yr,,,,,,"범위값 하한 · [추정치] · ≈14,500~15,000 m³/s. 범위값 하한·상한 분리",Mekong River Commission (2009),https://www.mrcmekong.org/publications/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),5,
B-028,하천 유량,observation,vnm-v121-b-028-obs-6-52774693dae4ef44,B-028_discharge_mekong_max,VNM,2009,475,km³/yr,,,,,,"범위값 상한 · [추정치] · ≈14,500~15,000 m³/s. 범위값 하한·상한 분리",Mekong River Commission (2009),https://www.mrcmekong.org/publications/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),6,
B-028,하천 유량,observation,vnm-v121-b-028-obs-7-7b8679b9a54567e2,B-028_discharge_redriver_min,VNM,2010,106,km³/yr,,,,,,"범위값 하한 · [추정치] · ≈3,350~3,740 m³/s","Le et al. (2014), HESS",https://hess.copernicus.org/articles/18/3987/2014/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),7,
B-028,하천 유량,observation,vnm-v121-b-028-obs-8-6149a551aae11b81,B-028_discharge_redriver_max,VNM,2010,116,km³/yr,,,,,,"범위값 상한 · [추정치] · ≈3,350~3,740 m³/s","Le et al. (2014), HESS",https://hess.copernicus.org/articles/18/3987/2014/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),8,
B-028,하천 유량,observation,vnm-v121-b-028-obs-9-869a95f93e03390a,B-028_discharge_redriver_system,VNM,2022,148.3,km³/yr,,,,,,[추정치],MONRE (2022),https://wepa-db.net/database/vietnam,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),9,
B-028,하천 유량,observation,vnm-v121-b-028-obs-10-78dd716b6cf963e4,B-028_irwr,VNM,2023,359.42,km³/yr,,,,,,[추정치] · TRWR 884.12의 약 40% — 국내 강수 기원,FAO AQUASTAT,https://data.apps.fao.org/aquastat/?lang=en&country=VNM,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),10,
B-028,하천 유량,observation,vnm-v121-b-028-obs-11-6365782dcd34775e,B-028_external_inflow,VNM,2023,524.7,km³/yr,,,,,,[추정치] · 메콩·홍강 상류 국외 구간 기원 — TRWR의 약 60%,FAO AQUASTAT,https://data.apps.fao.org/aquastat/?lang=en&country=VNM,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),11,
B-028,하천 유량,observation,vnm-v121-b-028-obs-12-287a2bf637c3e8aa,B-028_dependency_ratio,VNM,2023,59.4,%,,,,,,[추정치] · 외부유입 ÷ TRWR × 100,FAO AQUASTAT,https://data.apps.fao.org/aquastat/?lang=en&country=VNM,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),12,
B-028,하천 유량,observation,vnm-v121-b-028-obs-13-601688a7cc6052cc,B-028_discharge_gis,VNM,2026,,m³/s,,,,,M06,GloFAS 격자 유량 집계 미수행 — 절차 확정 후 진행,GloFAS (Copernicus EMS) / GRDC / HydroSHEDS,https://cds.climate.copernicus.eu/datasets/cems-glofas-historical,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),13,
B-028,하천 유량,observation,vnm-v121-b-028-obs-14-24a60ebe6180e2ea,B-028_discharge_cumecs_g01,VNM,2004,14750,m³/s,,,,,,"[추정치] · 원문 ""~14,500-15,000 m³/s"" — 1960–2004 MRC/VNMC. 연 유출량 460–475 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),14,
B-028,하천 유량,observation,vnm-v121-b-028-obs-15-3b5c205dbeb7675d,B-028_discharge_cumecs_g01_min,VNM,2004,14500,m³/s,,,,,,"범위값 하한 · [추정치] · 원문 ""~14,500-15,000 m³/s"" — 1960–2004 MRC/VNMC. 연 유출량 460–475 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),15,
B-028,하천 유량,observation,vnm-v121-b-028-obs-16-7e926ffc1a3ff0d8,B-028_discharge_cumecs_g01_max,VNM,2004,15000,m³/s,,,,,,"범위값 상한 · [추정치] · 원문 ""~14,500-15,000 m³/s"" — 1960–2004 MRC/VNMC. 연 유출량 460–475 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),16,
B-028,하천 유량,observation,vnm-v121-b-028-obs-17-9769e5d7fad33a3e,B-028_discharge_cumecs_g02,VNM,2022,4700,m³/s,,,,,,"[추정치] · 원문 ""~4,700 m³/s"" — MONRE 2022, 연 유출량 148.3 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),17,
B-028,하천 유량,observation,vnm-v121-b-028-obs-18-b6fa2cae53fdf66c,B-028_discharge_cumecs_son_tay,VNM,2010,3740,m³/s,,,,,,"[추정치] · 원문 ""~3,740 m³/s (pre-dam)"" — Le et al.(2014), 연 유출량 116 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),18,
B-028,하천 유량,observation,vnm-v121-b-028-obs-19-dd8297a0b66a2774,B-028_discharge_cumecs_son_tay,VNM,2010,3350,m³/s,,,,,,"[추정치] · 원문 ""~3,350 m³/s (post-dam)"" — Le et al.(2014), 연 유출량 106 km³/yr에 대응",Mekong River Commission (MRC)/VNMC · Le et al.(2014) · MONRE,https://www.mrcmekong.org/,기관 이용약관,B-028_하천 유량(m³／s).xlsx,1.1_observation(측정값),19,
