element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00001,B-013_carbon_payment_aluminium,VNM,2022,2022,2022,,,,0.4638,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),23,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00002,B-013_carbon_payment_cement,VNM,2022,2022,2022,,,,69.9327,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),22,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00003,B-013_carbon_payment_fertilizers,VNM,2022,2022,2022,,,,87.6642,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),21,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00004,B-013_carbon_payment_iron_steel,VNM,2022,2022,2022,,,,3.2471,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),24,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00005,B-013_carbon_payment_top3_aluminium,VNM,2022,2022,2022,,,,3.7214,%,,,,,,[추정치] · EU 내 탄소집약도 상위 3개국 평균을 기준선으로 삼았을 때의 탄소지불액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),37,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00006,B-013_carbon_payment_top3_cement,VNM,2022,2022,2022,,,,70.3842,%,,,,,,[추정치] · EU 내 탄소집약도 상위 3개국 평균을 기준선으로 삼았을 때의 탄소지불액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),36,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00007,B-013_carbon_payment_top3_fertilizers,VNM,2022,2022,2022,,,,108.5914,%,,,,,,[추정치] · EU 내 탄소집약도 상위 3개국 평균을 기준선으로 삼았을 때의 탄소지불액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),35,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00008,B-013_carbon_payment_top3_iron_steel,VNM,2022,2022,2022,,,,8.7423,%,,,,,,[추정치] · EU 내 탄소집약도 상위 3개국 평균을 기준선으로 삼았을 때의 탄소지불액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),38,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00009,B-013_carbon_payment_total_cbam,VNM,2022,2022,2022,,,,4.0235,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),20,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00010,B-013_economic_exposure,VNM,2022,2022,2022,,,,0.0028,%,,,,,,[추정치] · 총 초과 탄소지불액 ÷ GDP × 100,World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),14,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00011,B-013_eu_avg_carbon_payment_aluminium,VNM,2022,2022,2022,,,,1.0413,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),28,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00012,B-013_eu_avg_carbon_payment_cement,VNM,2022,2022,2022,,,,48.3835,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),27,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00013,B-013_eu_avg_carbon_payment_fertilizers,VNM,2022,2022,2022,,,,52.2795,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),26,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00014,B-013_eu_avg_carbon_payment_iron_steel,VNM,2022,2022,2022,,,,3.2147,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),29,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00015,B-013_eu_avg_carbon_payment_total_cbam,VNM,2022,2022,2022,,,,,%,,,,,M03,원천 미산출 — 집계행(TotalCBAM)에는 정의상 산정되지 않는 지표,World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),25,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00016,B-013_export_eu_gdp,VNM,2022,2022,2022,,,,0.7592,%,,,,,,[추정치] · CBAM 4개 품목의 대EU 수출액 합계 ÷ GDP × 100,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),34,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00017,B-013_export_eu_output_aluminium,VNM,2022,2022,2022,,,,5.531,%,,,,,,[추정치] · 분모는 GTAP11-CE 2017년 산출액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),32,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00018,B-013_export_eu_output_cement,VNM,2022,2022,2022,,,,0.0669,%,,,,,,[추정치] · 분모는 GTAP11-CE 2017년 산출액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),31,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00019,B-013_export_eu_output_fertilizers,VNM,2022,2022,2022,,,,0.616,%,,,,,,[추정치] · 분모는 GTAP11-CE 2017년 산출액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),30,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00020,B-013_export_eu_output_iron_steel,VNM,2022,2022,2022,,,,7.4031,%,,,,,,[추정치] · 분모는 GTAP11-CE 2017년 산출액,World Bank — EU CBAM Exposure Index,https://datacatalog.worldbank.org/search/dataset/0065200,CC-BY-4.0,B-013.xlsx,1.1_observation(측정값),33,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00021,B-013_export_eu_share_aluminium,VNM,2022,2022,2022,,,,13.7052,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),18,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00022,B-013_export_eu_share_cement,VNM,2022,2022,2022,,,,1.1482,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),17,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00023,B-013_export_eu_share_fertilizers,VNM,2022,2022,2022,,,,2.765,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),16,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00024,B-013_export_eu_share_iron_steel,VNM,2022,2022,2022,,,,24.3876,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),19,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00025,B-013_export_eu_share_total_cbam,VNM,2022,2022,2022,,,,19.2224,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),15,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00026,B-013_output_exposure_aluminium,VNM,2022,2022,2022,,,,-0.0319,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),12,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00027,B-013_output_exposure_cement,VNM,2022,2022,2022,,,,0.0144,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),11,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00028,B-013_output_exposure_fertilizers,VNM,2022,2022,2022,,,,0.218,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),10,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00029,B-013_output_exposure_iron_steel,VNM,2022,2022,2022,,,,0.0024,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),13,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00030,B-013_output_exposure_total_cbam,VNM,2022,2022,2022,,,,,%,,,,,M03,원천 미산출 — 집계행(TotalCBAM)에는 정의상 산정되지 않는 지표,World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),9,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00031,B-013_trade_exposure_aluminium,VNM,2022,2022,2022,,,,-0.0791,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),7,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00032,B-013_trade_exposure_cement,VNM,2022,2022,2022,,,,0.2474,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),6,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00033,B-013_trade_exposure_fertilizers,VNM,2022,2022,2022,,,,0.9784,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),5,
B-013,World Bank CBAM 영향 지수,observation,v124-b-013-obs-00034,B-013_trade_exposure_iron_steel,VNM,2022,2022,2022,,,,0.0079,%,,,,,,[추정치],World Bank Relative CBAM Exposure Index,https://thedocs.worldbank.org/en/doc/f617485768833ea38968a5f1ac2292f0-0430012023/related/EUCBAM-Dashboard-download.xlsx,기관 이용약관,B-013.xlsx,1.1_observation(측정값),8,
