element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-3-af320f7675855e1b,D-001_capex_solar_pv,VNM,2024,1004,USD/kW,,,,,,"[태양광 기술 (Solar, PV)] [중앙값(median)] World Bank PPI 베트남 실측 12건 기준. 단위사업 규모 중앙값 166.5 MW · 단위사업 투자액 중앙값 168.0 백만 USD.",World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),3,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-4-702bb19d471f3bc4,D-001_capex_solar_pv_min,VNM,2024,724,USD/kW,,,,,,"[태양광 기술 (Solar, PV)] [하한(min)] World Bank PPI 베트남 실측 12건 기준. 단위사업 규모 중앙값 166.5 MW · 단위사업 투자액 중앙값 168.0 백만 USD.",World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),4,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-5-e9cac5b4be615e50,D-001_capex_solar_pv_max,VNM,2024,1318,USD/kW,,,,,,"[태양광 기술 (Solar, PV)] [상한(max)] World Bank PPI 베트남 실측 12건 기준. 단위사업 규모 중앙값 166.5 MW · 단위사업 투자액 중앙값 168.0 백만 USD.",World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),5,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-6-758d9baa0feb67f1,D-001_capex_wind,VNM,2024,1791,USD/kW,,,,,,[풍력 기술 (Wind)] [중앙값(median)] World Bank PPI 베트남 실측 32건 기준. 단위사업 규모 중앙값 48.0 MW · 단위사업 투자액 중앙값 70.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),6,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-7-20bdbe1ac883f7a9,D-001_capex_wind_min,VNM,2024,913,USD/kW,,,,,,[풍력 기술 (Wind)] [하한(min)] World Bank PPI 베트남 실측 32건 기준. 단위사업 규모 중앙값 48.0 MW · 단위사업 투자액 중앙값 70.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),7,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-8-2735fa4920732bdb,D-001_capex_wind_max,VNM,2024,3333,USD/kW,,,,,,[풍력 기술 (Wind)] [상한(max)] World Bank PPI 베트남 실측 32건 기준. 단위사업 규모 중앙값 48.0 MW · 단위사업 투자액 중앙값 70.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),8,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-9-16325e729ce54ea1,D-001_capex_hydro_small,VNM,2024,1103,USD/kW,,,,,,[수력 기술 — 소수력 <50MW] [중앙값(median)] World Bank PPI 베트남 실측 39건 기준. 단위사업 규모 중앙값 20.0 MW · 단위사업 투자액 중앙값 23.6 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),9,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-10-54b34c00611be754,D-001_capex_hydro_small_min,VNM,2024,787,USD/kW,,,,,,[수력 기술 — 소수력 <50MW] [하한(min)] World Bank PPI 베트남 실측 39건 기준. 단위사업 규모 중앙값 20.0 MW · 단위사업 투자액 중앙값 23.6 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),10,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-11-2c2dc34987f864aa,D-001_capex_hydro_small_max,VNM,2024,1867,USD/kW,,,,,,[수력 기술 — 소수력 <50MW] [상한(max)] World Bank PPI 베트남 실측 39건 기준. 단위사업 규모 중앙값 20.0 MW · 단위사업 투자액 중앙값 23.6 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),11,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-12-c7e7d7f3a8805de6,D-001_capex_hydro_large,VNM,2024,1156,USD/kW,,,,,,[수력 기술 — 대수력 >50MW] [중앙값(median)] World Bank PPI 베트남 실측 14건 기준. 단위사업 규모 중앙값 109.0 MW · 단위사업 투자액 중앙값 107.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),12,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-13-68738bd67608f94b,D-001_capex_hydro_large_min,VNM,2024,98,USD/kW,,,,,,[수력 기술 — 대수력 >50MW] [하한(min)] World Bank PPI 베트남 실측 14건 기준. 단위사업 규모 중앙값 109.0 MW · 단위사업 투자액 중앙값 107.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),13,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-14-8c25a75008fa9e6d,D-001_capex_hydro_large_max,VNM,2024,1961,USD/kW,,,,,,[수력 기술 — 대수력 >50MW] [상한(max)] World Bank PPI 베트남 실측 14건 기준. 단위사업 규모 중앙값 109.0 MW · 단위사업 투자액 중앙값 107.5 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),14,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-15-9f52e10466e6b963,D-001_capex_biomass,VNM,2024,2400,USD/kW,,,,,,[바이오에너지 기술 (Biomass)] [중앙값(median)] World Bank PPI 베트남 실측 2건 기준. 단위사업 규모 중앙값 50.0 MW · 단위사업 투자액 중앙값 120.0 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),15,
D-001,단위 사업당 CAPEX,observation,vnm-v121-d-001-obs-16-047eb28fa37a42f2,D-001_capex_waste_to_energy,VNM,2024,6379,USD/kW,,,,,,[폐자원 기술 (Waste-to-Energy)] [중앙값(median)] World Bank PPI 베트남 실측 1건 기준. 단위사업 규모 중앙값 11.6 MW · 단위사업 투자액 중앙값 74.0 백만 USD.,World Bank Private Participation in Infrastructure (PPI) Database,https://ppi.worldbank.org/en/ppidata,CC-BY-4.0,D-001_단위 사업당 CAPEX.xlsx,1.1_observation(측정값),16,
