element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-3-93ba6fca1a98b940,C-007_vietnam_participation_status_focal_point_nma_registration,VNM,2025,등재(host 참여당사국),—,,,,,,"UNFCCC Article 6.8 NMA 플랫폼에 SUBARU 이니셔티브의 참여당사국(Participating Parties)으로 베트남이 host 자격으로 등재되어 있음. 플랫폼 표기: ""Cambodia (host), Nepal (host), Philippines (host), Viet Nam (host)"".",UNFCCC — Article 6.8 NMA Platform,https://unfccc.int/process-and-meetings/the-paris-agreement/cooperative-implementation/Article-6-8/nma-platform/main/non-market-approaches/6166d9e9-0330-f011-a2d9-000d3ab1d5c1,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),3,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-4-4663834f6992a6b4,C-007_vietnam_participation_status_focal_point_institute_wide_file,VNM,—,원 기재 유지(host 참여 사실 확인),—,,,,,,"1차 수집 파일의 ""베트남이 SUBARU에 host로 참여"" 기재를 NMA 플랫폼 원문으로 재검증한 결과 사실과 일치함. 다만 제출당사국은 일본이며 베트남은 참여당사국(host)이라는 점을 구분하여 별도 지표로 수록함.",UNFCCC — Article 6.8 NMA Platform,https://unfccc.int/process-and-meetings/the-paris-agreement/cooperative-implementation/Article-6-8/nma-platform/main/non-market-approaches/6166d9e9-0330-f011-a2d9-000d3ab1d5c1,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),4,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-5-e91b1f5dbd8c7d60,C-007_vietnam_participation_status_focal_point_vietnam_art_6_8,VNM,2025,,—,,,,,M02,"[M02·미공개] Article 6.8 국가연락창구(NFP) 명단은 NMA 플랫폼의 National Focal Point Section에만 수록되며, 해당 섹션은 UNFCCC 계정 로그인 전용 포털(unfccc-art6-nma.powerappsportals.com)로 운영되어 일반 공개되지 않음. 공개 영역에는 전 세계 NFP 총수(105개국)만 게시됨.",UNFCCC — Article 6.8 NMA Platform (National Focal Point Section),https://unfccc.int/process-and-meetings/the-paris-agreement/cooperative-implementation/Article-6-8/nma-platform/main/non-market-approaches,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),5,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-6-72b97e9ba45cdd64,C-007_nma_platform_status_platform_registration_ratio,VNM,2025,6,건,,,,,,NMA 플랫폼 등재 비시장접근법 6건 — CEFIA(일본 제출) / SIVA 쿠바(쿠바) / SIN-Sequía 쿠바(쿠바) / Reciclo Orgánicos 칠레(칠레) / SUBARU(일본) / ABM(우간다). 이 중 베트남이 참여당사국인 것은 SUBARU 1건.,UNFCCC — Article 6.8 NMA Platform,https://unfccc.int/process-and-meetings/the-paris-agreement/cooperative-implementation/Article-6-8/nma-platform/main/non-market-approaches,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),6,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-7-c992c891e6013afa,C-007_nma_platform_status_article_6_8_national_focal,VNM,2025,105,개국,,,,,,베트남 지정 여부 미확보(상단 행 참조),UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),7,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-8-1fd1ecc2653127d1,C-007_nma_platform_status_registered_support_providers,VNM,2025,31,개,,,,,,베트남 소재/대상 지원기관 여부는 PDF 미수록,UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),8,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-9-1c3e56dc232149fa,C-007_platform_capability_capacity_building_introduction_to_articl,VNM,2025,4,회,,,,,,참석 93명(Party+non-Party 합산). 베트남 참석 여부 원문 미제시,UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),9,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-10-aeee266b5d8aca8b,C-007_platform_capability_capacity_building_how_to_record_article,VNM,2025,6,회,,,,,,합계 참석 61명. 베트남 참석 여부 원문 미제시,UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),10,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-11-bd209fca8ea99b74,C-007_platform_capability_capacity_building_rcc_joint_webinar_eu_n,VNM,2025,3,회,,,,,,아시아·베트남 대상 지역활동은 원문에 명시되지 않음,UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),11,
C-007,"파리협정 제6.8조 비시장 접근법[참여 여부, 등록된 활동명, 대상 분야(감축/적응/재정/기술/역량), 참여 기관, 등록 일자, 원본 링크]",observation,vnm-v121-c-007-obs-12-609cac619cd4f45e,C-007_source_link_gcnma_8_secretariat_update,VNM,2025,GCNMA8_Secretariat_Update_2025-11-12.pdf,URL,,,,,,raw 폴더 원본 보관(수집일 2026-07-21),UNFCCC NMA Platform,https://unfccc.int/sites/default/files/resource/251112_Secretariat-update-to-GCNMA-8.pdf,UNFCCC 문서 이용약관,C-007_파리협정 제6.8조 비시장 접근법 참여 현황.xlsx,1.1_observation(측정값),12,
