element_id,element_label,record_type,record_id,indicator_id,country_iso3,year,period_start,period_end,period,statistic_type,source_year_label,value,unit,name,latitude,longitude,attributes_json,missing_reason_code,note,source_org,source_url,license_code,source_file,source_sheet,source_row,publication_decision_id
A-025,CCS 시설,observation,v124-a-025-obs-00001,A-025_ccs_facility_count,VNM,2026,2026,2026,,,,5,,,,,,,[CO2 포집·저장·활용 기술 (CCUS)] [CCS 시설 수] STADT(공개 1차 출처 정리) 기준. 1.2_entity 수록 시설·프로젝트 건수를 집계한 값. CCS 시설이므로 20 CO2 포집·저장·활용 기술에 1:1 대응함.,,,,A-025.xlsx,1.1_observation(측정값),4,
A-025,CCS 시설,entity,v124-a-025-entity-00001,A-025_ccs_facility_registry,VNM,,,,,,,,,CO2 주입(EOR),10.35,108.1,"{""field_b25998a0"":""완료(2011.6 주입, 2012.2 종료)"",""type"":""CO2 주입(EOR)"",""속성3_A_024_선로상태_기존_계획"":null}",,"[CO2 포집·저장·활용 기술 (CCUS)] [시설명: Rang Dong 유전 CO2-EOR 파일럿] 주관/파트너: JVPC(JX Nippon)·PetroVietnam·JOGMEC · 위치: Block 15-2, Cuu Long 분지, 붕따우 남동 약 135km 해상 · 좌표 정확도: 근사(블록 단위) / 동남아 최초 해상 CO2-EOR. 상용 CCS 아닌 파일럿",STADT(공개 1차 출처 정리),https://www.globalccsinstitute.com/resources/global-status-of-ccs/,용역 자체 정리자료,A-025.xlsx,1.2_entity(레코드형),4,
A-025,CCS 시설,entity,v124-a-025-entity-00002,A-025_ccs_facility_registry,VNM,,,,,,,,,고농도 CO2 가스전(CO2 분리·재주입 잠재),15.6989,109.6027,"{""field_b25998a0"":""계획(FID~2025, 생산~2030 목표)"",""type"":""고농도 CO2 가스전(CO2 분리·재주입 잠재)"",""속성3_A_024_선로상태_기존_계획"":null}",,"[CO2 포집·저장·활용 기술 (CCUS)] [시설명: Ca Voi Xanh(Blue Whale) 가스전] 주관/파트너: ExxonMobil(64%)·PVEP(36%) · 위치: Block 118, Song Hong 분지, 중부 해상 · 좌표 정확도: 중(필드 좌표) / 고 CO2 함량으로 CCS/재주입 후보. 개발 지연",STADT(공개 1차 출처 정리),https://www.globalccsinstitute.com/resources/global-status-of-ccs/,용역 자체 정리자료,A-025.xlsx,1.2_entity(레코드형),5,
A-025,CCS 시설,entity,v124-a-025-entity-00003,A-025_ccs_facility_registry,VNM,,,,,,,,,연구,,,"{""field_b25998a0"":""학계/산업"",""type"":""연구"",""속성3_A_024_선로상태_기존_계획"":null}",M01,[CO2 포집·저장·활용 기술 (CCUS)] [시설명: 포집(Capture) 연구] 주관: 대상 공장 미정 · 위치: 시멘트 생산 탈탄소화 CCS 연구 · [M01·원자료 결측] 연구·타당성 단계로 대상 지점이 확정되지 않아 원천에 좌표가 없음,STADT(공개 1차 출처 정리),https://www.globalccsinstitute.com/resources/global-status-of-ccs/,용역 자체 정리자료,A-025.xlsx,1.2_entity(레코드형),8,
A-025,CCS 시설,entity,v124-a-025-entity-00004,A-025_ccs_facility_registry,VNM,,,,,,,,,연구/타당성,,,"{""field_b25998a0"":""Black & Veatch 등"",""type"":""연구/타당성"",""속성3_A_024_선로상태_기존_계획"":null}",M01,[CO2 포집·저장·활용 기술 (CCUS)] [시설명: 포집(Capture) 연구] 주관: 대상 발전소 미정 · 위치: 베트남 최초 석탄화력 flue-gas CCUS 개발 모색 · [M01·원자료 결측] 연구·타당성 단계로 대상 지점이 확정되지 않아 원천에 좌표가 없음,STADT(공개 1차 출처 정리),https://www.globalccsinstitute.com/resources/global-status-of-ccs/,용역 자체 정리자료,A-025.xlsx,1.2_entity(레코드형),7,
A-025,CCS 시설,entity,v124-a-025-entity-00005,A-025_ccs_facility_registry,VNM,,,,,,,,,지중 저장 후보(Storage),9.8,108.5,"{""field_b25998a0"":""계획·법제화 단계"",""type"":""지중 저장 후보(Storage)"",""속성3_A_024_선로상태_기존_계획"":null}",,[CO2 포집·저장·활용 기술 (CCUS)] [시설명: 고갈 유·가스전 CO2 저장(개념)] 주관/파트너: PetroVietnam(PVN) · 위치: Cuu Long·Nam Con Son 분지(대표 위치) · 좌표 정확도: 개념(분지 대표점) / 석유법 개정으로 CO2 저장 산업화 추진 중,STADT(공개 1차 출처 정리),https://www.globalccsinstitute.com/resources/global-status-of-ccs/,용역 자체 정리자료,A-025.xlsx,1.2_entity(레코드형),6,
