elementId,geometryKind,status,renderer,expectedKey,expectedName,expectedValue,expectedUnit,expectedPeriod,expectedSource,layerSelected,layerRendered,targetPresentInRender,hitPointResolved,stageReached,cameraSettled,zoomedToTarget,occludedBy,reachRecovery,reachTrail,layerListState,overlapChoices,overlapResolved,hoverPopupIdentifiesTarget,hoverIdentityBasis,hoverWaitMs,clickPanelIdentifiesTarget,clickIdentityBasis,clickWaitMs,hoverAndPanelAgree,expectedVariableSelected,expectedPeriodSelected,dataScopeReady,controlChangedResult,expectedValueObserved,expectedValueShown,expectedUnitObserved,expectedPeriodObserved,evidence,screenshot,screenshotSha256,pageRuntimeEvents,note
"A-024","line","REVIEWED","MAPLIBRE","A-024-WB2016-0001","A-024-WB2016-0001","116.87798","km","2016","geometry/vnm-transmission-network.geojson","YES","YES","YES","YES","change-control","STILL","","","PANNED","initial=span > collapse:legend=span > collapse:panel=span > pan=REACHABLE","OPENED_BY_TOGGLE>REACHABLE_AFTER_OPENING_LIST>COLLAPSED_BY_TOGGLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","YES_IN_5MS","RENDERED_SCOPE_CHANGED_TO:110 kV(281->186 features)","MATCH_IN_DESIGNED_FIELD","116.878 km","true","true","YES","screenshots/map-a-024-line.png","be7edd5830ffaacbdfde4dfeea9360f469b46b490ce81e35b0cd178f973464f6","1","renderedFeatures=559; matched A-024-WB2016-0001 (MultiLineString)"
"B-034","polygon","REVIEWED","MAPLIBRE","VN-01","Lai Châu","-822213","Mg CO2e/yr","2001–2024","spatial/layers/b-034.json","YES","YES","YES","YES","change-control","STILL","","","PANNED","initial=span > collapse:legend=span > collapse:panel=span > pan=REACHABLE","OPENED_BY_TOGGLE>REACHABLE_AFTER_OPENING_LIST>COLLAPSED_BY_TOGGLE","","","YES","STABLE_KEY","1","YES","STABLE_KEY","1","YES","ALREADY_SELECTED","ALREADY_SELECTED","YES_IN_2MS","RENDERED_SCOPE_CHANGED_TO:산림탄소 총배출(연평균)(41->41 features)","MATCH_IN_DESIGNED_FIELD","-822,213","true","true","YES","screenshots/map-b-034-polygon.png","e041e05022014403915ef400152289af215a6b63218ab88852695ddf22f4023d","1","renderedFeatures=63; matched VN-01 (Polygon)"
"B-048","point","REVIEWED","MAPLIBRE","v124-b-048-entity-00001","Ban Phuc","니켈","","","packs entity B-048 · 광종","YES","YES","YES","YES","change-control","STILL","","","PANNED","initial=button > collapse:legend=button > collapse:panel=button > pan=REACHABLE","OPENED_BY_TOGGLE","","","YES","STABLE_KEY","4","YES","STABLE_KEY","0","YES","NOT_ATTEMPTED","NOT_ATTEMPTED","NOT_CHECKED","SINGLE_OPTION","MATCH_IN_DESIGNED_FIELD","니켈","","","YES","screenshots/map-b-048-point.png","6ba43c988502fef4843933be1d0128c52bf15deead06d16c4dc9c32190ac7823","1","renderedFeatures=2; matched v124-b-048-entity-00001 (Point)"
